name,branche,beschreibung,adresse,id,ansprechperson,email,telefon,telefax
MAMO Verkehrsdienst GmbH,Sicherheitsdienst,Verkehrsdienst - Kontrolle ruhender Verkehr - Schwertransportbegleitung,"Neumattstrasse 29
Postfach
5001 Aarau",3686,Marco Moriggl,kontakt@mamo-verkehrsdienst.ch,062 824 99 88,062 824 99 89
Fasler Treuhand und Revisionen GmbH,Treuhand,,"Bleichemattstrasse 11
5000 Aarau",3687,Walter Fasler,info@faslertreuhand.ch,062 824 00 45,
PMI.AG,,Informatik und Kommunikationstechnologie,"Bleichemattstrasse 2
5000 Aarau",3689,Steven Marti,steven.marti@pmi.ag,062 832 60 32,062 832 60 33
buntBund Floristik GmbH,Blumen,,"Rain 15
5000 Aarau",3690,Bea Bofinger,bea.bofinger@buntbund.ch,062 849 94 94,
Andreas Marti & Partner Architekten AG,Architektur,,"Rathausgasse 29
5000 Aarau",3691,Andreas Marti,a.marti@andreas-marti.ch,062/ 822 21 55,062/ 822 21 62
Psychologische Laufbahnberatung Aarau,Beratungsstelle,"Berufs- und Laufbahnberatung für alle Altersgruppen, Bewerbungscoaching","Laurenzenvorstadt 89
5000 Aarau",3692,Monika Heeb,heeb@laufbahn-coaching.ch,062 824 92 34,
Rechtsanwälte und Notariat leiser.meyer.müller,Advokatur- und Notariatsbüro,,"Rathausgasse 9
Advokatur und Notariat
5000 Aarau",3693,Martin Leiser,info@leiser-meyer-mueller.ch,062 824 10 23,062 822 65 88
90 Grad Café Bar,Gastgewerbe,,"Bahnhofstrasse 35
5000 Aarau",3694,MICHEL GAYRET,MICHEL.GAYRET@90GRADBAR.CH,062 823 90 09,
planerkiste architekturplanungen,Architektur,,"Müliweg 3
5033 Buchs",3695,Jan Kempf,kempf@planerkiste.ch,062 824 47 47,-
Licht & Wohnen - Daniel Kuhn,Innenarchitektur,Lichtlösungen aus einer Hand,"Tramstrasse 59
Lichtberatung - Planung - Realisation
5034 Suhr",3696,Daniel Kuhn,info@licht-wohnen.ch,062 842 85 86,
Wilhelm + Wahlen Bauingenieure AG,Ingenieurbüro,"Bauingenieurbüro mit Niederlassungen in Aarau und Zofingen für Hoch-, Tief- und Brückenbau, Erdbebeningenieurwesen und Bauwerkserhaltung","Kasinostrasse 15
5000 Aarau",3697,Hans Wahlen,hans.wahlen@ww-aarau.ch,062 837 10 10,062 837 10 18
RE/MAX,Immobilien,,"Bahnhofplatz 7
5400 Baden",3698,Michael Unold,michael.unold@remax.ch,056 200 90 00,
SCHIBLI & PARTNER Advokatur und Notariat AG,Rechtsanwalt,"Wir beraten Sie in allen Bereichen des Rechts, wenn nötig mit Unterstützung unseres Notars und unserer Treuhänder!","Bahnhofstrasse 57
Postfach
5001 Aarau 1",3699,Hans Schibli,hans.r.schibli@schibli-partner.ch,062 832 44 55,062 832 44 59
ISG Personalmanagement (Schweiz) GmbH,Personal,Internationaler Komplettanbieter für Personaldienstleistungen,"Buchserstrasse 12
5000 Aarau",3700,Remo Bachmann,remo.bachmann@isg.com,+41 62 823 41 41,+41 62 823 41 40
academia language school,Aus- und Weiterbildung,Sprach- und Lernzentrum für Firmen wie Privatkunden,"Bahnhofstrasse 53
5000 Aarau",3701,Simon Haag,simon.haag@academia-language.ch,058 440 91 20,
Kantonsspital Aarau AG,Gesundheit,,"Tellstrasse 25
5001 Aarau",3703,Robert Rhiner,presse@ksa.ch,062 838 94 60,062 838 94 14
Schäfer Zimmerei AG,Baugewerbe,,"Laurenzenvorstadt 61
5000 Aarau",3704,Marc Huggenberger,marc.huggenberger@sht.ch,,
aaretax Treuhand AG,Treuhand,Treuhandbüro,"Rain 63
5000 Aarau",3705,Marco Eggenschwiler,eggenschwiler@aaretax.ch,062 520 75 00,062 520 75 01
Haworth Büromöbel GmbH,Büroeinrichtungen,Haworth ist mehr als ein Büromöbelhersteller,"Badstrasse 5
5737 Menziken",3706,Angelo Gentile,angelo.gentile@haworth.com,+41 79 292 63 56,
Cellere Bau AG,Baugewerbe,,"Herzogstrasse 41
5001 Aarau",3707,Maurizio Giovanelli,maurizio.giovanelli@cellere.ch,062 / 824 61 51,062 / 824 33 20
HSO Wirtschafts- und Informatikschule,Aus- und Weiterbildung,,"Bahnhofplatz 4
5000 Aarau",3708,Mike Huber,mike.huber@vantage.ch,+41 58 680 25 13,
SIS Swiss International School,Aus- und Weiterbildung,"Private, bilinguale Tagesschule","Schachenstrasse 24
5012 Schönenwerd",3710,Pia Mathes,pia.mathes@swissinternationalschool.ch,062 312 30 30,
Babel Service,Dienstleistungen,,"Girixweg 45
Mechthild Babel
5000 Aarau",3712,Mechthild Babel,info@babel-service.ch,079 315 43 97,
Rückenwind KLG,,,"Asylstrasse 15
5000 Aarau",3713,Fabian Zimmerli,fabianzi@hotmail.ch,+41797000896,
rs academy gmbh,Schule,rs academy gmbh - the art of education!,"Lochweg 8c
5023 Biberstein",3714,Roger Schüle,roger.schuele@rsacademy.ch,0582550720,0582550721
Generali Versicherungen,Versicherung,,"Rain 35
5000 Aarau",3715,Sükrü Aslitürk,suekrue.aslituerk@generali.com,+41584739030,
1a Gebäudemanagement André Buess,Dienstleistungen,"Hauswartung, technischer Unterhalt, Projekte","Pestalozzistrasse
45
5000 Aarau",3716,André Buess,andre.buess@1a-gebaeudemanagement.ch,,
Maier Gastronomie GmbH | Restaurant EINSTEIN,Gastgewerbe,,"Bahnhofstrasse 43
5000 Aarau",3717,Franz Maier,info@restauranteinstein.ch,062 834 40 34,
BERDAAG AG,Immobilien,"Wir vermieten, verwalten und verkaufen Immobilien seit 1998","Hallwylstrasse 9
5000 Aarau",3718,Bettina Autenrieth Gloor,b.ag@berdaag.ch,062 824 25 24,
Serves AG,Treuhand,,"Gartenstrasse 28
5400 Baden",3720,Raphael Gloor,r.gloor@serves.ch,,
Aarauer Coworking Genossenschaft,Dienstleistungen,Coworking Genossenschaft im Herzen von Aarau,"Bachstrasse 84
c/o immodea Daniel Hediger
5000 Aarau",3721,Thomas Aerni,thomas@coworkingaarau.ch,062 767 60 07,
Caminada AG,Dienstleistungen,,"Florastrasse 10
Bestattungsinstitut
5000 Aarau",3722,Frank Greutmann,aarau@caminada-ag.ch,062 824 25 84,062 822 24 46
RE/MAX your choice - Aarau,Immobilien,,"Aeschbachhalle 6
5000 Aarau",3723,Pius Götschi,pius.goetschi@remax.ch,062 501 5000,
Anwaltskanzlei Dr. Weltert,Advokatur- und Notariatsbüro,,"Bahnhofstrasse 10
5001 Aarau",3724,Hans M. Weltert,hans.weltert@raweltert.ch,062 832 77 33,062 832 77 34
NEUE GALERIE 6 AARAU,Diverse,,"Milchgasse 35
5000 Aarau",3725,Carlo Mettauer,carlo.mettauer@zeka-ag.ch,0795416416,
Porta AG,Ingenieurbüro,,"Buchserstrasse 12
5000 Aarau",3726,Remo Villiger,remo.villiger@portaag.ch,058 580 98 00,
BCG Behmen Versicherungsbroking AG,Versicherung,,"Hintere Bahnhofstrasse 10
Jan van Rijs
5001 Aarau",3727,Jan van Rijs,jan.vanrijs@bcgag.ch,062 857 70 80,062 857 70 99
Ackermann+Wernli AG,Ingenieurbüro,Vermessungs- und Ingenieurbüro,"Bleichemattstrasse 43
5000 Aarau",3728,Jules Fricker,jules.fricker@ackermann-wernli.ch,062 200 28 28,
